Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Mar-10,62,62,0,52,53,10,9,2010,3
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Mar-10,61,57,4,54,54,3,3,2010,3
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Mar-10,294,289,5,244,256,45,33,2010,3
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Mar-10,762,750,12,657,666,93,84,2010,3
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Mar-10,230,229,1,200,194,29,35,2010,3
Brisbane-Perth,Brisbane,Perth,All Airlines,Mar-10,186,186,0,154,157,32,29,2010,3
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Mar-10,61,58,3,51,52,7,6,2010,3
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Mar-10,365,358,7,341,343,17,15,2010,3
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Mar-10,1243,1205,38,1014,1013,191,192,2010,3
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Mar-10,326,324,2,286,302,38,22,2010,3
Broome-Perth,Broome,Perth,All Airlines,Mar-10,149,144,5,121,119,23,25,2010,3
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Mar-10,333,333,0,311,311,22,22,2010,3
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Mar-10,92,91,1,73,79,18,12,2010,3
Cairns-Sydney,Cairns,Sydney,All Airlines,Mar-10,209,209,0,190,188,19,21,2010,3
Cairns-Townsville,Cairns,Townsville,All Airlines,Mar-10,213,210,3,177,171,33,39,2010,3
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Mar-10,85,84,1,79,78,5,6,2010,3
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Mar-10,278,276,2,257,253,19,23,2010,3
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Mar-10,518,514,4,464,443,50,71,2010,3
Canberra-Sydney,Canberra,Sydney,All Airlines,Mar-10,807,798,9,679,657,119,141,2010,3
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Mar-10,209,208,1,156,162,52,46,2010,3
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Mar-10,62,61,1,54,55,7,6,2010,3
