,Year,Flights Flown,Month,Price,KM
394,2023,125,10,542.7421014,972
395,2010,78,9,430.573057,972
396,2011,78,9,571.9358717,972
397,2012,70,9,621.1669941,972
398,2013,91,9,656.4538462,972
399,2014,91,9,575.9041353,972
400,2015,74,9,623.0731481,972
401,2016,74,9,588.2449726,972
402,2017,71,9,600.2890485,972
403,2018,75,9,616.2995595,972
404,2019,77,9,649.7954939,972
405,2021,28,9,287.5137845,972
406,2022,86,9,564.394081,972
407,2023,118,9,668.9970436,972
408,2023,101,8,575.9371766,2619
409,2023,106,7,892.3407243,2619
410,2023,98,6,718.8578908,2619
411,2023,96,5,556.6701571,2619
412,2023,89,10,494.429831,2619
413,2023,97,9,312.2675536,2619
414,2010,89,4,185.4624217,1607
415,2011,60,4,448.4697581,1607
416,2012,59,4,317.7011952,1607
417,2013,70,4,459.9824903,1607
418,2014,74,4,340.8328612,1607
419,2015,71,4,283.704186,1607
420,2016,69,4,360.6998158,1607
421,2017,63,4,358.9123758,1607
422,2018,62,4,388.7486726,1607
423,2019,61,4,335.1263066,1607
424,2021,62,4,341.506734,1607
425,2022,76,4,240.7478192,1607
426,2023,71,4,415.4098728,1607
427,2010,84,8,238.0474611,1607
428,2011,61,8,459.7915832,1607
429,2012,59,8,450.7583497,1607
430,2013,70,8,387.4153846,1607
431,2014,61,8,368.1578947,1607
432,2015,62,8,380.8388889,1607
433,2016,66,8,368.2925046,1607
434,2017,62,8,376.7504488,1607
435,2018,62,8,351.2907489,1607
436,2019,57,8,385.5129983,1607
437,2020,24,8,291.3580034,1607
438,2021,32,8,210.3759398,1607
439,2022,53,8,499.0202492,1607
440,2023,55,8,414.6334072,1607
441,2010,59,12,675.6780186,1607
442,2011,61,12,880.3326653,1607
443,2012,68,12,600.7470588,1607
444,2013,71,12,611.3950382,1607
445,2014,73,12,477.7073171,1607
446,2015,73,12,268.4428044,1607
447,2016,61,12,666.4327273,1607
448,2017,68,12,566.58876,1607
449,2018,68,12,611.832603,1607
450,2019,64,12,604.3872633,1607
451,2020,47,12,534.7713311,1607
452,2021,78,12,228.3610882,1607
453,2022,75,12,924.1100917,1607
454,2023,80,12,624.9757531,1607
455,2010,83,2,199.2693277,1607
456,2011,56,2,452.5757884,1607
457,2012,56,2,473.3353353,1607
458,2013,55,2,434.4550781,1607
459,2014,56,2,368.9962049,1607
460,2015,55,2,398.2172285,1607
461,2016,58,2,411.1663586,1607
462,2017,56,2,346.9013575,1607
463,2018,56,2,410.008881,1607
464,2019,52,2,351.8957055,1607
465,2020,55,2,328.7530017,1607
466,2021,52,2,334.6208651,1607
467,2022,43,2,246.1517353,1607
468,2023,51,2,503.260181,1607
469,2010,92,1,188.1008403,1607
470,2011,62,1,338.7202442,1607
471,2012,60,1,375.3073073,1607
472,2013,72,1,338.8203125,1607
473,2014,77,1,355.7229602,1607
474,2015,77,1,398.2172285,1607
475,2016,78,1,359.4473198,1607
476,2017,62,1,339.3049774,1607
477,2018,75,1,285.7637655,1607
478,2019,78,1,284.4592463,1607
479,2020,64,1,295.1578045,1607
480,2021,66,1,296.6497031,1607
481,2022,83,1,162.5956416,1607
482,2023,73,1,585.5542986,1607
483,2024,85,1,260.8477786,1607
484,2010,92,7,197.1647668,1607
485,2011,63,7,482.2204409,1607
486,2012,61,7,450.7583497,1607
487,2013,68,7,355.1307692,1607
488,2014,67,7,399.7142857,1607
489,2015,70,7,334.2055556,1607
490,2016,69,7,350.3893967,1607
491,2017,62,7,361.6804309,1607
492,2018,62,7,351.2907489,1607
493,2019,63,7,400.0606586,1607
494,2021,36,7,269.9824561,1607
495,2022,61,7,429.288162,1607
496,2023,78,7,430.1433851,1607
497,2010,89,6,213.2087683,1607
498,2011,52,6,588.0877016,1607
499,2012,56,6,721.7948207,1607
500,2013,63,6,500.8093385,1607
501,2014,59,6,335.5486308,1607
502,2015,62,6,420.3506977,1607
503,2016,62,6,306.5948435,1607
504,2017,59,6,409.4634146,1607
505,2018,56,6,367.7017699,1607
506,2019,51,6,336.3449477,1607
507,2021,64,6,396.8543771,1607
508,2022,54,6,406.0539255,1607
509,2023,60,6,507.4906507,1607
510,2010,91,3,229.2478992,1607
511,2011,61,3,452.5757884,1607
512,2012,61,3,613.3753754,1607
513,2013,60,3,689.9365234,1607
514,2014,63,3,355.7229602,1607
515,2015,64,3,351.0599251,1607
516,2016,65,3,323.2439926,1607
517,2017,63,3,313.9837104,1607
518,2018,63,3,457.2220249,1607
519,2019,59,3,348.2173532,1607
520,2020,45,3,404.3421955,1607
521,2021,57,3,344.1136556,1607
522,2022,58,3,255.1848265,1607
523,2023,63,3,430.4615385,1607
524,2010,91,5,140.1920668,1607
525,2011,63,5,392.0584677,1607
526,2012,58,5,401.3067729,1607
527,2013,62,5,323.8929961,1607
528,2014,59,5,287.9905571,1607
529,2015,60,5,348.7739535,1607
530,2016,61,5,293.7127072,1607
531,2017,62,5,313.4164408,1607
532,2018,57,5,383.7964602,1607
533,2019,58,5,350.9686411,1607
534,2021,58,5,357.993266,1607
535,2022,57,5,355.0198255,1607
536,2023,58,5,373.9421316,1607
537,2010,69,11,459.1145511,1607
538,2011,60,11,510.256513,1607
539,2012,60,11,449.8745098,1607
540,2013,60,11,371.1087786,1607
541,2014,59,11,425.2120075,1607
542,2015,60,11,397.501845,1607
543,2016,58,11,513.8145455,1607
544,2017,60,11,341.9500446,1607
545,2018,56,11,350.6695881,1607
546,2019,54,11,402.1222031,1607
547,2020,27,11,475.0870307,1607
548,2022,70,11,1024.649847,1607
549,2023,59,11,557.1227112,1607
550,2010,91,10,227.9691434,1607
551,2011,62,10,566.3286573,1607
552,2012,64,10,471.8196078,1607
553,2013,66,10,365.769084,1607
554,2014,68,10,406.8386492,1607
555,2015,66,10,397.501845,1607
556,2016,75,10,412.0690909,1607
557,2017,63,10,391.8697591,1607
558,2018,65,10,380.0964067,1607
559,2019,63,10,402.1222031,1607
560,2020,31,10,376.0110922,1607
561,2022,68,10,773.3004587,1607
562,2023,75,10,374.1631154,1607
563,2010,87,9,359.3907772,1607
564,2011,59,9,698.0981964,1607
565,2012,64,9,574.4420432,1607
566,2013,70,9,764.0692308,1607
567,2014,67,9,394.4548872,1607
568,2015,72,9,625.6638889,1607
569,2016,69,9,606.1480804,1607
570,2017,60,9,607.8240575,1607
571,2018,60,9,648.3471366,1607
572,2019,59,9,534.6265165,1607
573,2020,22,9,309.4173838,1607
574,2021,45,9,440.6207185,1607
575,2022,53,9,773.5903427,1607
576,2023,63,9,358.7974871,1607
577,2010,730,4,55.49269311,643
578,2011,731,4,98.57872984,643
579,2012,673,4,164.4243028,643
580,2013,727,4,149.5623541,643
581,2014,741,4,178.2106704,643
582,2015,762,4,127.5367442,643
583,2016,728,4,141.7034991,643
584,2017,715,4,123.8500452,643
585,2018,711,4,132.3478761,643
586,2019,730,4,193.6420732,643
587,2020,53,4,158.9772727,643
588,2021,514,4,115.4057239,643
589,2022,665,4,104.2870738,643
590,2023,700,4,170.5587135,643
591,2010,739,8,89.536,643
592,2011,667,8,207.4669339,643
593,2012,695,8,189.6483301,643
594,2013,725,8,134.3847115,643
595,2014,747,8,149.8928571,643
596,2015,747,8,152.8537037,643
597,2016,749,8,132.9945155,643
598,2017,722,8,113.0251346,643
599,2018,704,8,140.5162996,643
600,2019,714,8,121.1092721,643
601,2020,36,8,156.5146299,643
602,2021,61,8,114.5380117,643
603,2022,623,8,180.8676012,643
604,2023,685,8,184.0517369,643
605,2010,749,12,141.3437564,643
606,2011,659,12,375.6833667,643
607,2012,732,12,299.0019608,643
608,2013,716,12,250.9656489,643
609,2014,741,12,154.8611632,643
610,2015,761,12,121.3154982,643
611,2016,732,12,183.1418182,643
612,2017,741,12,167.2310437,643
613,2018,703,12,286.7888694,643
614,2019,700,12,156.5146299,643
615,2020,251,12,151.5981229,643
616,2021,517,12,94.57378401,643
617,2022,653,12,342.2629969,643
618,2023,631,12,226.1425422,643
619,2010,608,2,119.9142857,643
620,2011,624,2,98.2288708,643
621,2012,653,2,252.0720721,643
622,2013,675,2,161.2128906,643
623,2014,687,2,114.0171727,643
624,2015,672,2,149.3314607,643
625,2016,732,2,147.3992606,643
626,2017,669,2,156.9918552,643
627,2018,681,2,149.0941385,643
628,2019,696,2,156.8204207,643
629,2020,683,2,200.3713551,643
630,2021,184,2,144.7650551,643
631,2022,358,2,178.4035513,643
632,2023,600,2,314.395181,643
633,2010,644,1,126.3802521,643
634,2011,745,1,78.30415056,643
635,2012,668,1,193.2552553,643
636,2013,753,1,133.8886719,643
637,2014,734,1,92.92598672,643
638,2015,719,1,117.8932584,643
639,2016,751,1,134.4695009,643
640,2017,704,1,144.3312217,643
641,2018,714,1,141.6394316,643
642,2019,715,1,159.3952673,643
643,2020,673,1,165.5763293,643
644,2021,287,1,150.6980492,643
645,2022,382,1,92.58918483,643
646,2023,663,1,198.3499246,643
647,2024,647,1,155.8973052,643
648,2010,756,7,112.9348187,643
649,2011,667,7,151.3947896,643
650,2012,695,7,203.3909627,643
651,2013,757,7,141.1106731,643
652,2014,758,7,128.8552632,643
653,2015,774,7,147.6722222,643
654,2016,769,7,125.321755,643
655,2017,738,7,138.1418312,643
656,2018,750,7,123.136652,643
657,2019,746,7,159.9030329,643
658,2020,51,7,161.3304647,643
659,2021,242,7,114.5380117,643
660,2022,632,7,126.3894081,643
661,2023,649,7,221.2756837,643
662,2010,718,6,81.77870564,643
663,2011,668,6,126.784375,643
664,2012,629,6,248.0298805,643
665,2013,673,6,122.3444553,643
666,2014,723,6,125.3683664,643
667,2015,729,6,135.3451163,643
668,2016,687,6,126.2449355,643
669,2017,704,6,139.0153568,643
670,2018,684,6,154.6328319,643
671,2019,689,6,143.7996516,643
672,2020,45,6,173.6520979,643
673,2021,162,6,115.4057239,643
674,2022,629,6,128.6946868,643
675,2023,639,6,251.1293942,643
676,2010,687,3,126.3802521,643
677,2011,747,3,96.63489318,643
678,2012,699,3,291.2832833,643
679,2013,757,3,191.2695313,643
680,2014,742,3,140.5636622,643
681,2015,757,3,123.1329588,643
682,2016,781,3,113.7818854,643
683,2017,749,3,220.2950226,643
684,2018,765,3,176.3038188,643
685,2019,775,3,161.8475022,643
686,2020,515,3,231.5668954,643
687,2021,298,3,130.5258694,643
688,2022,535,3,173.8870056,643
689,2023,690,3,347.112368,643
690,2010,755,5,81.77870564,643
691,2011,745,5,112.6815524,643
